year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2021,"Buff-throated Saltator",Saltator maximus,27,60,0.45
2021,"Streaked Saltator",Saltator striatipectus,10,60,0.16666666666666666
2021,"Common Chlorospingus",Chlorospingus flavopectus,12,60,0.2
2021,"Black-striped Sparrow",Arremonops conirostris,12,60,0.2
2021,"Costa Rican Brushfinch",Arremon costaricensis,6,60,0.1
2021,"Orange-billed Sparrow",Arremon aurantiirostris,25,60,0.4166666666666667
2021,"Chestnut-capped Brushfinch",Arremon brunneinucha,7,60,0.11666666666666667
2021,"Rufous-collared Sparrow",Zonotrichia capensis,10,60,0.16666666666666666
2021,"White-naped Brushfinch",Atlapetes albinucha,2,60,0.03333333333333333
2021,"Summer Tanager",Piranga rubra,25,60,0.4166666666666667
2021,"White-winged Tanager",Piranga leucoptera,5,60,0.08333333333333333
2021,"Red-crowned Ant-Tanager",Habia rubica,23,60,0.38333333333333336
2021,"Rose-breasted Grosbeak",Pheucticus ludovicianus,4,60,0.06666666666666667
2021,"Blue-black Grosbeak",Cyanocompsa cyanoides,5,60,0.08333333333333333
2021,"Dickcissel",Spiza americana,4,60,0.06666666666666667
2021,"Melodious Blackbird",Dives dives,6,60,0.1
2021,"Great-tailed Grackle",Quiscalus mexicanus,58,60,0.9666666666666667
2021,"Bronzed Cowbird",Molothrus aeneus,7,60,0.11666666666666667
2021,"Baltimore Oriole",Icterus galbula,13,60,0.21666666666666667
2021,"Yellow-billed Cacique",Amblycercus holosericeus,9,60,0.15
2021,"Crested Oropendola",Psarocolius decumanus,26,60,0.43333333333333335
2021,"Yellow-crowned Euphonia",Euphonia luteicapilla,11,60,0.18333333333333332
2021,"Thick-billed Euphonia",Euphonia laniirostris,11,60,0.18333333333333332
2021,"Yellow-throated Euphonia",Euphonia hirundinacea,2,60,0.03333333333333333
2021,"Spot-crowned Euphonia",Euphonia imitans,18,60,0.3
2021,"Lesser Goldfinch",Spinus psaltria,19,60,0.31666666666666665
